feature,importance
interest_match,0.18899427
category_affinity,0.15061337
budget_match,0.10602287
preference_match,0.05358352
mobility_match,0.044061635
tourist_level,0.040254984
poi_review_count,0.036882654
geographic_distance,0.03567507
party_match,0.035622317
poi_popularity,0.0330111
avg_poi_rating,0.032799438
poi_rating,0.032689072
total_behavior_strength,0.032629125
avg_tourist_level,0.031745777
total_interactions,0.031085959
avg_poi_popularity,0.029475922
expected_duration,0.029185489
avg_price_level,0.02906357
trip_duration,0.026603848
