traveler_id,poi_id,interaction_type,timestamp,interaction_weight
U0046,P0058,save,2025-01-01T00:39:00,4
U0034,P0421,view,2025-01-01T01:16:00,1
U0011,P0484,share,2025-01-01T01:24:00,5
U0030,P0336,click,2025-01-01T01:42:00,2
U0098,P0412,view,2025-01-01T01:43:00,1
U0018,P0028,view,2025-01-01T03:01:00,1
U0062,P0084,save,2025-01-01T04:01:00,4
U0066,P0487,booking,2025-01-01T04:31:00,10
U0076,P0055,click,2025-01-01T05:45:00,2
U0049,P0022,dismiss,2025-01-01T06:50:00,-3
U0096,P0198,visit,2025-01-01T08:23:00,8
U0029,P0052,share,2025-01-01T09:03:00,5
U0046,P0484,view,2025-01-01T09:28:00,1
U0091,P0362,save,2025-01-01T09:34:00,4
U0053,P0116,view,2025-01-01T12:07:00,1
U0080,P0478,share,2025-01-01T13:38:00,5
U0093,P0471,view,2025-01-01T14:27:00,1
U0058,P0057,save,2025-01-01T14:34:00,4
U0043,P0006,share,2025-01-01T16:00:00,5
U0090,P0250,share,2025-01-01T16:30:00,5
U0002,P0390,visit,2025-01-01T16:59:00,8
U0046,P0303,click,2025-01-01T20:02:00,2
U0003,P0241,view,2025-01-01T21:55:00,1
U0098,P0025,click,2025-01-01T22:32:00,2
U0063,P0187,share,2025-01-01T22:34:00,5
U0093,P0266,save,2025-01-01T23:40:00,4
U0058,P0341,click,2025-01-02T00:04:00,2
U0082,P0183,view,2025-01-02T01:51:00,1
U0049,P0056,dismiss,2025-01-02T03:30:00,-3
U0025,P0385,save,2025-01-02T03:35:00,4
U0021,P0131,click,2025-01-02T04:16:00,2
U0092,P0367,view,2025-01-02T08:36:00,1
U0038,P0184,save,2025-01-02T09:17:00,4
U0094,P0371,click,2025-01-02T09:19:00,2
U0045,P0264,save,2025-01-02T10:22:00,4
U0072,P0261,share,2025-01-02T11:16:00,5
U0076,P0217,view,2025-01-02T12:25:00,1
U0057,P0032,click,2025-01-02T12:29:00,2
U0049,P0414,view,2025-01-02T13:03:00,1
U0050,P0484,view,2025-01-02T13:29:00,1
U0075,P0464,save,2025-01-02T13:53:00,4
U0073,P0056,dismiss,2025-01-02T14:39:00,-3
U0097,P0140,visit,2025-01-02T15:32:00,8
U0044,P0488,click,2025-01-02T18:03:00,2
U0096,P0458,visit,2025-01-02T18:08:00,8
U0089,P0366,share,2025-01-02T18:17:00,5
U0075,P0299,visit,2025-01-02T19:54:00,8
U0051,P0406,save,2025-01-02T21:16:00,4
U0068,P0414,view,2025-01-02T21:27:00,1
U0065,P0343,view,2025-01-02T23:15:00,1
U0079,P0469,dismiss,2025-01-03T00:40:00,-3
U0080,P0297,visit,2025-01-03T01:17:00,8
U0086,P0259,visit,2025-01-03T01:48:00,8
U0074,P0247,booking,2025-01-03T02:28:00,10
U0081,P0321,share,2025-01-03T03:04:00,5
U0078,P0223,view,2025-01-03T03:17:00,1
U0081,P0422,booking,2025-01-03T05:09:00,10
U0079,P0216,save,2025-01-03T05:59:00,4
U0097,P0137,view,2025-01-03T08:23:00,1
U0051,P0005,save,2025-01-03T08:40:00,4
U0018,P0352,click,2025-01-03T09:59:00,2
U0091,P0041,view,2025-01-03T10:05:00,1
U0014,P0012,view,2025-01-03T10:15:00,1
U0054,P0403,click,2025-01-03T10:21:00,2
U0043,P0182,view,2025-01-03T10:24:00,1
U0066,P0283,save,2025-01-03T10:58:00,4
