traveler_id,poi_id,interaction_type,timestamp,interaction_weight
U0001,P0328,click,2025-01-04 05:44:00,2
U0001,P0156,share,2025-01-06 21:46:00,5
U0001,P0238,view,2025-01-17 10:04:00,1
U0001,P0248,share,2025-01-17 10:25:00,5
U0001,P0307,click,2025-01-23 23:29:00,2
U0001,P0058,visit,2025-01-25 03:09:00,8
U0001,P0371,view,2025-02-02 12:24:00,1
U0001,P0324,view,2025-02-05 17:49:00,1
U0001,P0424,view,2025-02-13 23:31:00,1
U0001,P0346,view,2025-02-17 06:14:00,1
U0001,P0338,view,2025-02-24 20:19:00,1
U0001,P0374,share,2025-02-27 00:47:00,5
U0001,P0447,view,2025-03-13 23:06:00,1
U0001,P0260,share,2025-03-15 08:08:00,5
U0001,P0184,dismiss,2025-03-21 06:48:00,-3
U0001,P0427,share,2025-03-25 14:24:00,5
U0001,P0212,view,2025-04-12 04:23:00,1
U0001,P0064,view,2025-04-13 22:19:00,1
U0001,P0012,dismiss,2025-04-19 20:31:00,-3
U0001,P0403,view,2025-04-23 00:04:00,1
U0001,P0020,view,2025-04-23 04:32:00,1
U0001,P0187,share,2025-04-28 02:57:00,5
U0001,P0281,visit,2025-05-05 15:51:00,8
U0001,P0320,click,2025-05-07 07:04:00,2
U0001,P0104,click,2025-05-07 23:35:00,2
U0001,P0166,click,2025-05-16 16:55:00,2
U0001,P0143,click,2025-05-17 22:59:00,2
U0001,P0380,dismiss,2025-05-18 02:13:00,-3
U0001,P0296,click,2025-05-19 20:44:00,2
U0001,P0326,visit,2025-05-23 14:40:00,8
U0001,P0037,view,2025-05-29 02:54:00,1
U0001,P0317,visit,2025-05-31 13:10:00,8
U0001,P0426,view,2025-05-31 20:39:00,1
U0001,P0392,save,2025-06-15 15:01:00,4
U0001,P0254,dismiss,2025-06-16 01:14:00,-3
U0001,P0196,save,2025-06-22 03:05:00,4
U0001,P0011,view,2025-06-26 19:16:00,1
U0001,P0339,view,2025-07-01 06:42:00,1
U0001,P0252,save,2025-07-01 13:26:00,4
U0001,P0367,click,2025-07-05 18:12:00,2
U0001,P0388,view,2025-07-06 05:23:00,1
U0001,P0500,view,2025-07-11 14:57:00,1
U0001,P0193,dismiss,2025-07-13 02:35:00,-3
U0001,P0303,dismiss,2025-07-14 03:22:00,-3
U0001,P0036,click,2025-07-22 20:29:00,2
