traveler_id,total_interactions,total_behavior_strength,avg_poi_rating,avg_poi_popularity,avg_price_level,avg_tourist_level
U0001,66,116,4.125757575757576,0.5632727272727273,2.5303030303030303,0.492030303030303
U0002,69,240,4.124347826086956,0.5651739130434783,2.420289855072464,0.5122608695652174
U0003,65,164,4.094307692307693,0.5352923076923076,2.4615384615384617,0.48227692307692305
U0004,67,265,4.092089552238806,0.5722835820895522,2.462686567164179,0.5294328358208955
U0005,61,184,4.087377049180328,0.5702295081967212,2.540983606557377,0.5450655737704918
U0006,62,256,4.055322580645162,0.5509193548387097,2.2419354838709675,0.49948387096774194
U0007,66,128,4.119090909090909,0.5911212121212122,2.1363636363636362,0.5458636363636363
U0008,80,221,4.115625,0.579325,2.375,0.560975
U0009,68,245,4.146029411764706,0.5870147058823529,2.426470588235294,0.474514705882353
U0010,72,262,4.125555555555556,0.5732777777777778,2.5416666666666665,0.5138750000000001
U0011,60,160,4.138166666666667,0.5932,2.6,0.49278333333333335
U0012,56,194,4.023214285714286,0.5477857142857142,2.517857142857143,0.6083571428571428
U0013,68,207,4.129705882352941,0.509014705882353,2.514705882352941,0.4896176470588235
U0014,72,199,4.145833333333333,0.5840277777777777,2.5833333333333335,0.5169722222222223
U0015,68,166,4.135294117647058,0.592764705882353,2.4558823529411766,0.56325
U0016,45,100,4.132222222222222,0.5947111111111111,2.3333333333333335,0.5672222222222222
U0017,74,211,4.119189189189189,0.5475,2.5675675675675675,0.5348243243243243
U0018,73,255,4.106986301369863,0.5152739726027398,2.493150684931507,0.5236986301369863
U0019,64,145,4.095625,0.604828125,2.546875,0.5578125
U0020,71,238,4.117746478873239,0.576,2.464788732394366,0.49499999999999994
U0021,76,218,4.081184210526316,0.5328157894736842,2.3947368421052633,0.5028421052631579
U0022,80,352,4.091749999999999,0.5705,2.4375,0.5663750000000001
U0023,76,248,4.120921052631579,0.6018947368421053,2.3947368421052633,0.5661578947368421
U0024,71,228,4.114929577464788,0.5533098591549296,2.380281690140845,0.4846338028169014
U0025,73,179,4.103835616438356,0.573958904109589,2.3424657534246576,0.5655205479452055
U0026,53,99,4.0318867924528305,0.5733962264150944,2.3207547169811322,0.5546981132075471
U0027,51,127,4.003333333333333,0.5114313725490196,2.2549019607843137,0.604764705882353
U0028,62,167,4.1775806451612905,0.5971935483870968,2.5161290322580645,0.49024193548387096
U0029,55,129,3.997454545454546,0.5581818181818182,2.4909090909090907,0.5418727272727273
U0030,74,214,4.130405405405405,0.5861621621621621,2.4594594594594597,0.5445135135135135
U0031,66,174,4.114696969696969,0.5352272727272728,2.5454545454545454,0.517090909090909
U0032,52,124,4.092884615384616,0.5394230769230769,2.173076923076923,0.5739423076923077
U0033,59,114,4.1635593220338984,0.5262203389830509,2.5762711864406778,0.5389152542372881
U0034,72,184,4.151805555555556,0.5400694444444444,2.625,0.500625
U0035,62,214,4.088225806451613,0.6107096774193548,2.5161290322580645,0.5565483870967742
U0036,70,232,4.037428571428571,0.5443571428571428,2.414285714285714,0.5642142857142857
U0037,77,264,4.135324675324676,0.5342597402597402,2.5844155844155843,0.5112337662337663
U0038,71,216,4.1070422535211275,0.5658450704225352,2.563380281690141,0.5301690140845071
U0039,60,195,4.106,0.518,2.45,0.5095333333333333
U0040,72,290,4.0186111111111105,0.5713472222222222,2.3472222222222223,0.5810555555555555
U0041,58,105,4.114310344827586,0.5996551724137931,2.3275862068965516,0.5446379310344828
U0042,63,224,4.131111111111111,0.576936507936508,2.3968253968253967,0.5500793650793651
U0043,72,231,4.0905555555555555,0.5425277777777777,2.361111111111111,0.4516666666666667
U0044,77,323,4.094285714285714,0.5725844155844155,2.5584415584415585,0.5393376623376623
U0045,78,260,4.077051282051282,0.5523589743589744,2.5384615384615383,0.49969230769230766
